Div,Date,HomeTeam,AwayTeam,Referee,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Bb1X2,Season,ShotsDiff,ShotsOnTargetDiff,CornersDiff,FoulsDiff,CardsDiff,GoalDiff,TotalGoals,Prob_H_b365,Prob_D_b365,Prob_A_b365,Margin_B365,OddsDiff_B365,Prob_H_ps,Prob_D_ps,Prob_A_ps,Margin_PS,OddsDiff_PS,OddsSpread_H,OddsSpread_D,OddsSpread_A,Home_GF_last5,Home_GA_last5,Home_GD_last5,Home_Pts_last5,Home_Wins_last5,Home_CleanSheets_last5,Home_Conceded0plus_last5,Home_Pts_last3,Home_GD_last3,Home_Pts_last10,Home_GD_last10,Home_Pts_trend_3v10,Away_GF_last5,Away_GA_last5,Away_GD_last5,Away_Pts_last5,Away_Wins_last5,Away_CleanSheets_last5,Away_Conceded0plus_last5,Away_Pts_last3,Away_GD_last3,Away_Pts_last10,Away_GD_last10,Away_Pts_trend_3v10,FormDiff_GF_last5,FormDiff_GA_last5,FormDiff_GD_last5,FormDiff_Pts_last5,FormDiff_Wins_last5,FormDiff_CleanSheets_last5,FormDiff_Conceded0plus_last5,FormDiff_Pts_last3,FormDiff_GD_last3,FormDiff_Pts_last10,FormDiff_GD_last10,FormDiff_Pts_trend_3v10,IsHomeAlways1,Month,Weekday,IsWeekend,Home_AvgPts_season,Home_AvgGD_season,Away_AvgPts_season,Away_AvgGD_season,SeasonStrength_PtsDiff,SeasonStrength_GDDiff,Home_AttDefRatio_last5,Home_GoalsShare_last5,Away_AttDefRatio_last5,Away_GoalsShare_last5,FormDiff_AttDefRatio_last5,FormDiff_GoalsShare_last5,Home_RecentFormIdx,Away_RecentFormIdx,FormDiff_RecentFormIdx,Market_ImpliedDiff_b365,Market_ImpliedDiff_ps,Market_BigHomeFav,Market_BigAwayFav,Market_BalancedMatch
E0,2014-08-16,Arsenal,Crystal Palace,J Moss,2.0,1.0,H,14.0,4.0,6.0,2.0,13.0,19.0,9.0,3.0,2.0,2.0,0.0,1.0,1.25,6.5,15.0,1.26,6.45,14.01,1.3,6.7,16.0,1.25,5.96,12.43,50.0,2014/2015,10.0,4.0,6.0,-6.0,-1.0,1.0,3.0,0.7839195979899497,0.1507537688442211,0.06532663316582914,0.020512820512820662,-13.75,0.7780377995955025,0.1519887794558656,0.06997342094863193,0.02006714077826066,-12.75,0.050000000000000044,0.7400000000000002,3.5700000000000003,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,5,1,,,,,,,,,,,,,,,,0.7185929648241206,0.7080643786468706,1,0,0
E0,2014-08-16,Leicester,Everton,M Jones,2.0,2.0,D,11.0,13.0,3.0,3.0,16.0,10.0,3.0,6.0,1.0,1.0,0.0,0.0,3.2,3.4,2.4,3.14,3.38,2.46,3.3,3.45,2.42,3.06,3.32,2.36,50.0,2014/2015,-2.0,0.0,-3.0,6.0,0.0,0.0,4.0,0.3053892215568862,0.2874251497005988,0.40718562874251496,0.023284313725490335,0.8000000000000003,0.3119719049691585,0.2898200537287449,0.39820804130209664,0.02083339078594859,0.6800000000000002,0.23999999999999977,0.13000000000000034,0.06000000000000005,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,5,1,,,,,,,,,,,,,,,,-0.10179640718562877,-0.08623613633293814,0,0,0
E0,2014-08-16,Manchester United,Swansea,M Dean,1.0,2.0,A,14.0,5.0,5.0,4.0,14.0,20.0,4.0,0.0,2.0,4.0,0.0,0.0,1.36,5.0,11.0,1.37,5.1,10.6,1.38,5.5,11.03,1.34,4.96,9.32,50.0,2014/2015,9.0,1.0,4.0,-6.0,-2.0,-1.0,3.0,0.7165190203230849,0.19489317352787913,0.08858780614903597,0.02620320855614966,-9.64,0.7153727057391258,0.19216874644364756,0.09245854781722665,0.020345061313328472,-9.23,0.039999999999999813,0.54,1.709999999999999,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,5,1,,,,,,,,,,,,,,,,0.627931214174049,0.6229141579218992,1,0,0
E0,2014-08-16,QPR,Hull,C Pawson,0.0,1.0,A,19.0,11.0,6.0,4.0,10.0,10.0,8.0,9.0,1.0,2.0,0.0,0.0,2.5,3.3,3.1,2.48,3.26,3.22,2.6,3.4,3.2,2.47,3.18,3.02,50.0,2014/2015,8.0,2.0,-1.0,0.0,-1.0,-1.0,1.0,0.39001143728555093,0.2954632100648113,0.3145253526496378,0.025610948191593375,-0.6000000000000001,0.39511284421626347,0.3005766422258691,0.3043105135578674,0.02053327892046175,-0.7400000000000002,0.1299999999999999,0.21999999999999975,0.18000000000000016,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,5,1,,,,,,,,,,,,,,,,0.07548608463591311,0.09080233065839605,0,0,1
E0,2014-08-16,Stoke,Aston Villa,A Taylor,0.0,1.0,A,12.0,7.0,2.0,2.0,14.0,9.0,2.0,8.0,0.0,3.0,0.0,0.0,1.95,3.5,4.5,1.95,3.47,4.55,2.0,3.5,4.8,1.92,3.38,4.27,50.0,2014/2015,5.0,0.0,-6.0,5.0,-3.0,-1.0,1.0,0.5023923444976077,0.2799043062200957,0.21770334928229665,0.020757020757020683,-2.55,0.5023784901758014,0.28231644260599786,0.21530506721820056,0.020785170641078654,-2.5999999999999996,0.08000000000000007,0.1200000000000001,0.5300000000000002,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,5,1,,,,,,,,,,,,,,,,0.2846889952153111,0.28707342295760085,0,0,0
E0,2014-08-16,West Brom,Sunderland,N Swarbrick,2.0,2.0,D,10.0,7.0,5.0,2.0,18.0,9.0,6.0,3.0,3.0,1.0,0.0,0.0,2.25,3.4,3.5,2.21,3.34,3.73,2.3,3.5,3.7,2.23,3.31,3.34,50.0,2014/2015,3.0,3.0,3.0,9.0,2.0,0.0,4.0,0.43391066545123064,0.2871467639015497,0.2789425706472197,0.024276377217553602,-1.25,0.4436222754772477,0.293534499642131,0.2628432248806213,0.019986400132904203,-1.52,0.06999999999999984,0.18999999999999995,0.3600000000000003,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,5,1,,,,,,,,,,,,,,,,0.15496809480401091,0.1807790505966264,0,0,1
E0,2014-08-16,West Ham,Tottenham,C Foy,0.0,1.0,A,18.0,10.0,4.0,4.0,12.0,10.0,8.0,5.0,1.0,0.0,1.0,1.0,3.8,3.6,2.05,3.96,3.55,2.06,4.05,3.62,2.2,3.74,3.43,2.03,49.0,2014/2015,8.0,0.0,3.0,2.0,1.0,-1.0,1.0,0.2558058925476603,0.27001733102253034,0.4741767764298094,0.028740550563400413,1.75,0.2476582025561659,0.2762609808795541,0.4760808165642801,0.019652286574206368,1.9,0.3099999999999996,0.18999999999999995,0.17000000000000037,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,5,1,,,,,,,,,,,,,,,,-0.2183708838821491,-0.22842261400811417,0,0,0
E0,2014-08-17,Liverpool,Southampton,M Clattenburg,2.0,1.0,H,12.0,12.0,5.0,6.0,8.0,11.0,2.0,6.0,1.0,2.0,0.0,0.0,1.33,5.75,10.0,1.35,5.48,10.3,1.38,5.8,11.0,1.34,5.16,9.0,49.0,2014/2015,0.0,-1.0,-4.0,-3.0,-1.0,1.0,3.0,0.7329742821632302,0.1695401383090602,0.09748557952770963,0.0257927427263811,-8.67,0.7259958583610943,0.17884934466924768,0.09515479696965799,0.020309871206334984,-8.950000000000001,0.039999999999999813,0.6399999999999997,2.0,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,6,1,,,,,,,,,,,,,,,,0.6354887026355206,0.6308410613914363,1,0,0
E0,2014-08-17,Newcastle,Manchester City,M Atkinson,0.0,2.0,A,12.0,13.0,0.0,5.0,8.0,11.0,3.0,3.0,1.0,5.0,0.0,0.0,5.25,4.33,1.67,5.8,4.28,1.63,5.97,4.33,1.67,5.24,4.0,1.64,50.0,2014/2015,-1.0,-5.0,0.0,-3.0,-4.0,-2.0,2.0,0.18670009372313207,0.22636847391372825,0.5869314323631398,0.020225467902861283,3.58,0.1691068104250698,0.2291634346881787,0.6017297548867515,0.01955558543186986,4.17,0.7299999999999995,0.33000000000000007,0.030000000000000027,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,6,1,,,,,,,,,,,,,,,,-0.40023133864000776,-0.4326229444616817,0,0,0
E0,2014-08-18,Burnley,Chelsea,M Oliver,1.0,3.0,A,9.0,11.0,2.0,3.0,6.0,7.0,4.0,3.0,1.0,1.0,0.0,0.0,9.0,5.0,1.4,9.77,4.81,1.41,11.0,5.1,1.42,8.72,4.63,1.39,48.0,2014/2015,-2.0,-1.0,1.0,-1.0,0.0,-2.0,4.0,0.10835913312693499,0.195046439628483,0.6965944272445821,0.025396825396825307,7.6,0.10039895487146844,0.20392885428154817,0.6956721908469834,0.019474211399122643,8.36,2.2799999999999994,0.46999999999999975,0.030000000000000027,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,0,0,,,,,,,,,,,,,,,,-0.5882352941176471,-0.595273235975515,0,1,0
